iteration	mean	std_dev	min	max	median
4150	139.603	25.159	116.481	202.235	128.855
4160	131.821	9.676	114.897	143.931	133.562
4170	234.503	12.487	216.666	254.563	231.289
4180	146.338	26.345	101.234	184.674	136.564
4190	152.560	7.371	144.058	172.024	149.766
4200	69.161	1.691	66.995	73.870	68.803
4210	65.264	2.184	63.232	69.287	64.168
4220	73.975	2.131	69.922	79.009	74.097
4230	110.089	39.389	68.262	178.831	100.101
4240	61.523	2.174	57.963	63.831	62.454
4250	82.043	18.024	67.841	132.037	74.062
4260	69.305	2.979	66.687	75.904	67.502
4270	76.963	10.966	68.514	108.206	72.949
4280	121.884	16.048	92.927	151.769	125.433
4290	68.556	0.438	67.941	69.259	68.521
4300	140.033	12.477	111.196	160.648	141.814
4310	74.613	4.193	66.392	81.887	74.704
4320	69.888	2.684	66.701	73.822	69.294
4330	68.548	1.997	66.996	72.582	67.744
4340	137.889	25.685	94.858	184.431	132.533
4350	100.607	15.159	78.688	125.112	100.794
4360	142.033	36.037	76.374	184.120	150.848
4370	192.402	29.300	146.983	236.631	187.985
4380	172.780	11.511	147.521	194.425	174.143
4390	185.333	19.773	149.593	219.313	187.595
4400	66.544	3.732	59.991	70.845	67.361
4410	60.810	2.273	58.193	66.032	60.545
4420	65.045	2.344	61.642	67.473	66.388
4430	61.063	1.020	58.251	62.024	61.121
4440	71.121	2.141	67.288	73.077	72.355
4450	83.990	7.897	75.699	99.539	82.352
4460	129.536	16.053	108.979	163.499	128.213
4470	165.637	26.162	129.003	208.876	159.774
4480	140.027	19.227	96.000	164.121	138.838
4490	137.853	10.617	120.470	156.387	139.366
4500	108.437	11.957	87.008	123.060	108.622
4510	94.151	38.371	64.582	171.949	73.414
4520	72.845	7.263	65.447	90.408	71.162
4530	103.146	2.795	98.660	106.196	103.590
4540	93.235	25.426	73.691	158.636	81.159
4550	75.693	6.763	69.209	89.789	73.670
4560	153.690	23.113	127.932	212.761	153.219
4570	91.012	19.164	61.069	116.735	92.405
4580	62.033	1.403	60.733	65.218	61.496
4590	116.544	37.324	86.209	211.034	97.334
4600	117.545	20.777	95.318	152.653	107.477
4610	146.117	34.578	88.620	206.092	142.072
4620	147.666	19.530	125.993	179.058	137.702
4630	102.618	14.182	86.223	122.212	99.703
4640	73.573	7.281	68.450	94.117	71.188
4650	103.995	11.219	83.632	127.618	104.355
4660	141.000	16.505	119.808	169.868	140.170
4670	136.592	8.939	120.680	155.281	139.274
4680	150.295	36.177	87.480	187.523	168.973
4690	71.173	2.208	68.533	74.124	69.891
4700	58.605	1.818	55.618	60.297	59.707
4710	60.786	1.885	58.300	65.538	59.966
